year,month,value
1995,5,47.19
1995,6,55.24
1995,7,60.62
1995,8,61.48
1995,9,51.8
1995,10,41.4
1995,11,30.61
1995,12,23.56
1996,1,18.61
1996,2,24.24
1996,3,26.94
1996,4,37.58
1996,5,48.99
1996,6,57.06
1996,7,60.96
1996,8,59.63
1996,9,51.49
1996,10,41.22
1996,11,29.73
1996,12,24.13
1997,1,20.1
1997,2,26.04
1997,3,32.23
1997,4,35.96
1997,5,46.49
1997,6,56.17
1997,7,60.51
1997,8,59.32
1997,9,53.87
1997,10,41.58
1997,11,30.88
1997,12,24.96
1998,1,25.66
1998,2,29.61
1998,3,30.83
1998,4,38.66
1998,5,49.78
1998,6,55.9
1998,7,62.87
1998,8,61.05
1998,9,55.99
1998,10,43.3
1998,11,35.04
1998,12,25.11
1999,1,23.13
1999,2,28.22
1999,3,30.83
1999,4,39.67
1999,5,47.37
1999,6,56.21
1999,7,61.72
1999,8,59.86
1999,9,50.72
1999,10,40.62
1999,11,35.06
1999,12,25.11
2000,1,22.93
2000,2,28.36
2000,3,33.98
2000,4,39.4
2000,5,50.25
2000,6,56.44
2000,7,60.8
2000,8,60.73
2000,9,52.03
2000,10,43.02
2000,11,28.15
2000,12,18.34
2001,1,21.31
2001,2,23.49
2001,3,30.72
2001,4,40.73
2001,5,49.48
2001,6,56.43
2001,7,61.83
2001,8,61.16
2001,9,52.52
2001,10,41.23
2001,11,35.78
2001,12,26.1
2002,1,23.9
2002,2,24.22
2002,3,27.37
2002,4,41.04
2002,5,46.09
2002,6,57.72
2002,7,62.89
2002,8,59.76
2002,9,54.05
2002,10,41.07
2002,11,31.19
2002,12,25.27
2003,1,22.24
2003,2,22.46
2003,3,31.62
2003,4,39.51
2003,5,48.74
2003,6,55.54
2003,7,62.2
2003,8,61.86
2003,9,52.03
2003,10,43.38
2003,11,32.0
2003,12,25.14
2004,1,20.28
2004,2,23.38
2004,3,35.53
2004,4,39.97
2004,5,49.42
2004,6,55.76
2004,7,60.51
2004,8,57.76
2004,9,53.02
2004,10,44.35
2004,11,34.14
2004,12,24.62
2005,1,23.92
2005,2,27.73
2005,3,30.72
2005,4,39.36
2005,5,47.08
2005,6,56.89
2005,7,62.08
2005,8,60.44
2005,9,53.89
2005,10,43.3
2005,11,33.17
2005,12,22.62
2006,1,28.22
2006,2,22.98
2006,3,31.5
2006,4,42.03
2006,5,49.06
2006,6,57.38
2006,7,63.21
2006,8,60.64
2006,9,50.72
2006,10,40.5
2006,11,32.63
2006,12,26.02
2007,1,21.33
2007,2,21.94
2007,3,35.28
2007,4,38.23
2007,5,49.3
2007,6,56.8
2007,7,61.95
2007,8,61.81
2007,9,53.44
2007,10,44.33
2007,11,32.09
2007,12,23.47
2008,1,19.78
2008,2,23.38
2008,3,29.66
2008,4,37.31
2008,5,46.56
2008,6,56.55
2008,7,61.07
2008,8,59.59
2008,9,52.41
2008,10,41.14
2008,11,32.9
2008,12,21.15
2009,1,19.78
2009,2,25.03
2009,3,30.9
2009,4,38.39
2009,5,49.12
2009,6,56.46
2009,7,59.92
2009,8,59.16
2009,9,53.82
2009,10,40.1
2009,11,34.12
2009,12,20.32
2010,1,21.31
2010,2,22.46
2010,3,32.02
2010,4,40.33
2010,5,47.73
2010,6,58.37
2010,7,62.42
