year,month,value
1992,9,64.65
1992,10,54.52
1992,11,40.06
1992,12,31.75
1993,1,30.47
1993,2,31.14
1993,3,41.79
1993,4,49.89
1993,5,60.87
1993,6,67.19
1993,7,72.12
1993,8,71.87
1993,9,63.28
1993,10,52.95
1993,11,39.2
1993,12,34.2
1994,1,29.34
1994,2,31.87
1994,3,44.51
1994,4,52.66
1994,5,60.66
1994,6,70.93
1994,7,73.6
1994,8,72.18
1994,9,65.53
1994,10,54.19
1994,11,42.55
1994,12,36.23
1995,1,33.08
1995,2,37.36
1995,3,43.34
1995,4,49.41
1995,5,58.62
1995,6,67.53
1995,7,73.53
1995,8,74.3
1995,9,64.67
1995,10,54.45
1995,11,42.03
1995,12,33.42
1996,1,29.7
1996,2,35.69
1996,3,39.02
1996,4,50.65
1996,5,60.96
1996,6,69.84
1996,7,73.62
1996,8,72.41
1996,9,63.45
1996,10,53.64
1996,11,39.63
1996,12,33.91
1997,1,29.97
1997,2,36.05
1997,3,44.65
1997,4,47.91
1997,5,59.38
1997,6,68.29
1997,7,73.17
1997,8,71.73
1997,9,66.4
1997,10,53.91
1997,11,40.86
1997,12,34.0
1998,1,34.99
1998,2,38.71
1998,3,41.32
1998,4,51.06
1998,5,62.46
1998,6,68.11
1998,7,75.45
1998,8,73.99
1998,9,68.95
1998,10,55.11
1998,11,44.89
1998,12,35.55
1999,1,33.78
1999,2,39.49
1999,3,42.78
1999,4,51.55
1999,5,60.04
1999,6,68.29
1999,7,74.28
1999,8,72.88
1999,9,64.33
1999,10,54.75
1999,11,48.11
1999,12,36.1
2000,1,33.57
2000,2,39.78
2000,3,46.02
2000,4,52.57
2000,5,63.12
2000,6,69.01
2000,7,73.85
2000,8,74.01
2000,9,65.55
2000,10,55.08
2000,11,38.01
2000,12,28.44
2001,1,31.37
2001,2,33.96
2001,3,41.47
2001,4,53.08
2001,5,62.8
2001,6,69.21
2001,7,74.44
2001,8,74.28
2001,9,65.68
2001,10,54.36
2001,11,47.39
2001,12,36.12
2002,1,34.48
2002,2,36.39
2002,3,39.54
2002,4,53.49
2002,5,59.27
2002,6,70.84
2002,7,75.83
2002,8,72.82
2002,9,66.83
2002,10,51.82
2002,11,41.95
2002,12,35.08
2003,1,32.81
2003,2,32.79
2003,3,43.29
2003,4,51.89
2003,5,60.96
2003,6,68.02
2003,7,75.43
2003,8,74.62
2003,9,64.94
2003,10,56.53
2003,11,42.35
2003,12,35.29
2004,1,30.36
2004,2,33.57
2004,3,47.39
